Id;Date;Heure;S02;NO2;O3
1;10/08/2018;1;1;3;59
2;10/08/2018;2;1;2;60
3;10/08/2018;3;1;3;58
4;10/08/2018;4;1;5;51
5;10/08/2018;5;1;3;57
6;10/08/2018;6;1;5;56
7;10/08/2018;7;1;11;51
8;10/08/2018;8;1;18;40
9;10/08/2018;9;1;10;55
10;10/08/2018;10;1;7;62
11;10/08/2018;11;1;4;66
12;10/08/2018;12;1;4;70
13;10/08/2018;13;1;2;75
14;10/08/2018;14;1;3;78
15;10/08/2018;15;1;4;80
16;10/08/2018;16;1;5;80
17;10/08/2018;17;1;3;78
18;10/08/2018;18;1;4;77
19;10/08/2018;19;1;5;76
20;10/08/2018;20;1;6;74
21;10/08/2018;21;1;4;74
22;10/08/2018;22;1;4;69
23;10/08/2018;23;1;6;62
24;10/08/2018;24;1;3;63
25;11/08/2018;1;1;2;60
26;11/08/2018;2;1;2;58
27;11/08/2018;3;1;2;60
28;11/08/2018;4;1;2;56
29;11/08/2018;5;1;3;52
30;11/08/2018;6;1;4;50
31;11/08/2018;7;1;7;43
32;11/08/2018;8;1;5;47
33;11/08/2018;9;1;5;48
34;11/08/2018;10;2;3;56
35;11/08/2018;11;2;4;67
36;11/08/2018;12;2;4;64
37;11/08/2018;13;2;4;64
38;11/08/2018;14;2;6;59
39;11/08/2018;15;2;5;84
40;11/08/2018;16;2;6;77
41;11/08/2018;17;2;9;68
42;11/08/2018;18;2;10;60
43;11/08/2018;19;2;12;62
44;11/08/2018;20;2;12;80
45;11/08/2018;21;2;13;88
46;11/08/2018;22;3;20;85
47;11/08/2018;23;3;15;85
48;11/08/2018;24;3;13;87
49;12/08/2018;1;4;8;95
50;12/08/2018;2;1;4;105
51;12/08/2018;3;1;4;104
52;12/08/2018;4;1;4;95
53;12/08/2018;5;1;3;81
54;12/08/2018;6;1;4;83
55;12/08/2018;7;1;4;81
56;12/08/2018;8;1;10;68
57;12/08/2018;9;1;9;74
58;12/08/2018;10;1;8;82
59;12/08/2018;11;1;5;90
60;12/08/2018;12;1;6;96
61;12/08/2018;13;1;6;96
62;12/08/2018;14;1;5;91
63;12/08/2018;15;1;4;89
64;12/08/2018;16;1;4;95
65;12/08/2018;17;1;4;97
66;12/08/2018;18;1;4;95
67;12/08/2018;19;1;7;70
68;12/08/2018;20;2;10;68
69;12/08/2018;21;2;3;95
70;12/08/2018;22;2;6;82
71;12/08/2018;23;1;18;55
72;12/08/2018;24;1;16;58
73;13/08/2018;1;1;11;66
74;13/08/2018;2;1;7;54
75;13/08/2018;3;0;4;54
76;13/08/2018;4;0;4;46
77;13/08/2018;5;0;3;49
78;13/08/2018;6;0;5;49
79;13/08/2018;7;1;7;44
80;13/08/2018;8;0;5;45
81;13/08/2018;9;1;5;46
82;13/08/2018;10;1;5;39
83;13/08/2018;11;1;4;48
84;13/08/2018;12;1;3;48
85;13/08/2018;13;0;2;53
86;13/08/2018;14;1;3;57
87;13/08/2018;15;1;3;61
88;13/08/2018;16;1;4;52
89;13/08/2018;17;1;4;58
90;13/08/2018;18;1;5;47
91;13/08/2018;19;1;5;49
92;13/08/2018;20;1;5;42
93;13/08/2018;21;1;6;44
94;13/08/2018;22;1;5;46
95;13/08/2018;23;1;4;52
96;13/08/2018;24;1;2;59
97;14/08/2018;1;1;1;56
98;14/08/2018;2;1;2;53
99;14/08/2018;3;1;3;49
100;14/08/2018;4;1;4;45
101;14/08/2018;5;1;4;43
102;14/08/2018;6;0;4;44
103;14/08/2018;7;0;7;38
104;14/08/2018;8;1;8;36
105;14/08/2018;9;1;10;33
106;14/08/2018;10;1;9;38
107;14/08/2018;11;1;7;51
108;14/08/2018;12;1;6;65
109;14/08/2018;13;1;4;76
110;14/08/2018;14;1;5;74
111;14/08/2018;15;1;4;80
112;14/08/2018;16;1;4;78
113;14/08/2018;17;1;4;77
114;14/08/2018;18;1;4;69
115;14/08/2018;19;1;4;61
116;14/08/2018;20;1;4;61
117;14/08/2018;21;1;6;53
118;14/08/2018;22;2;7;50
119;14/08/2018;23;1;6;51
120;14/08/2018;24;1;7;50
121;15/08/2018;1;1;6;47
122;15/08/2018;2;1;6;43
123;15/08/2018;3;1;4;44
124;15/08/2018;4;1;3;54
125;15/08/2018;5;1;3;44
126;15/08/2018;6;1;4;38
127;15/08/2018;7;1;6;32
128;15/08/2018;8;1;5;45
129;15/08/2018;9;1;4;45
130;15/08/2018;10;1;4;49
131;15/08/2018;11;1;4;54
132;15/08/2018;12;1;3;60
133;15/08/2018;13;1;3;64
134;15/08/2018;14;1;5;57
135;15/08/2018;15;1;5;68
136;15/08/2018;16;1;7;51
137;15/08/2018;17;1;12;57
138;15/08/2018;18;1;8;62
139;15/08/2018;19;1;7;72
140;15/08/2018;20;1;14;61
141;15/08/2018;21;2;22;70
142;15/08/2018;22;1;13;74
143;15/08/2018;23;1;24;61
144;15/08/2018;24;1;11;65
145;16/08/2018;1;1;15;49
146;16/08/2018;2;1;16;44
147;16/08/2018;3;1;31;32
148;16/08/2018;4;1;31;36
149;16/08/2018;5;1;42;23
150;16/08/2018;6;1;46;22
151;16/08/2018;7;1;22;48
152;16/08/2018;8;1;42;32
153;16/08/2018;9;1;36;41
154;16/08/2018;10;1;28;51
155;16/08/2018;11;1;13;72
156;16/08/2018;12;1;8;86
157;16/08/2018;13;1;8;99
158;16/08/2018;14;1;9;101
159;16/08/2018;15;1;6;109
160;16/08/2018;16;2;7;104
161;16/08/2018;17;2;6;101
162;16/08/2018;18;2;7;88
163;16/08/2018;19;1;6;66
164;16/08/2018;20;1;6;56
165;16/08/2018;21;1;6;46
166;16/08/2018;22;1;5;40
167;16/08/2018;23;1;4;43
168;16/08/2018;24;1;3;43
169;17/08/2018;1;1;4;43
170;17/08/2018;2;1;4;43
171;17/08/2018;3;1;3;45
172;17/08/2018;4;1;3;48
173;17/08/2018;5;1;6;49
174;17/08/2018;6;1;9;42
175;17/08/2018;7;1;13;34
176;17/08/2018;8;1;15;30
177;17/08/2018;9;1;11;33
178;17/08/2018;10;1;9;38
179;17/08/2018;11;1;7;44
180;17/08/2018;12;1;6;54
181;17/08/2018;13;1;7;50
182;17/08/2018;14;1;6;52
183;17/08/2018;15;1;6;49
184;17/08/2018;16;1;6;53
185;17/08/2018;17;1;8;49
186;17/08/2018;18;1;7;52
187;17/08/2018;19;1;7;50
188;17/08/2018;20;1;6;51
189;17/08/2018;21;1;7;52
190;17/08/2018;22;1;7;50
191;17/08/2018;23;1;6;50
192;17/08/2018;24;1;8;49
193;18/08/2018;1;1;6;48
194;18/08/2018;2;1;6;48
195;18/08/2018;3;0;5;53
196;18/08/2018;4;0;3;59
197;18/08/2018;5;1;5;56
