date;heure;SO2;NO2;O3
;;microg/m3;microg/m3;microg/m3
10/08/2018;1;1;3;59
10/08/2018;2;1;2;60
10/08/2018;3;1;3;58
10/08/2018;4;1;5;51
10/08/2018;5;1;3;57
10/08/2018;6;1;5;56
10/08/2018;7;1;11;51
10/08/2018;8;1;18;40
10/08/2018;9;1;10;55
10/08/2018;10;1;7;62
10/08/2018;11;1;4;66
10/08/2018;12;1;4;70
10/08/2018;13;1;2;75
10/08/2018;14;1;3;78
10/08/2018;15;1;4;80
10/08/2018;16;1;5;80
10/08/2018;17;1;3;78
10/08/2018;18;1;4;77
10/08/2018;19;1;5;76
10/08/2018;20;1;6;74
10/08/2018;21;1;4;74
10/08/2018;22;1;4;69
10/08/2018;23;1;6;62
10/08/2018;24;1;3;63
11/08/2018;1;1;2;60
11/08/2018;2;1;2;58
11/08/2018;3;1;2;60
11/08/2018;4;1;2;56
11/08/2018;5;1;3;52
11/08/2018;6;1;4;50
11/08/2018;7;1;7;43
11/08/2018;8;1;5;47
11/08/2018;9;1;5;48
11/08/2018;10;2;3;56
11/08/2018;11;2;4;67
11/08/2018;12;2;4;64
11/08/2018;13;2;4;64
11/08/2018;14;2;6;59
11/08/2018;15;2;5;84
11/08/2018;16;2;6;77
11/08/2018;17;2;9;68
11/08/2018;18;2;10;60
11/08/2018;19;2;12;62
11/08/2018;20;2;12;80
11/08/2018;21;2;13;88
11/08/2018;22;3;20;85
11/08/2018;23;3;15;85
11/08/2018;24;3;13;87
12/08/2018;1;4;8;95
12/08/2018;2;1;4;105
12/08/2018;3;1;4;104
12/08/2018;4;1;4;95
12/08/2018;5;1;3;81
12/08/2018;6;1;4;83
12/08/2018;7;1;4;81
12/08/2018;8;1;10;68
12/08/2018;9;1;9;74
12/08/2018;10;1;8;82
12/08/2018;11;1;5;90
12/08/2018;12;1;6;96
12/08/2018;13;1;6;96
12/08/2018;14;1;5;91
12/08/2018;15;1;4;89
12/08/2018;16;1;4;95
12/08/2018;17;1;4;97
12/08/2018;18;1;4;95
12/08/2018;19;1;7;70
12/08/2018;20;2;10;68
12/08/2018;21;2;3;95
12/08/2018;22;2;6;82
12/08/2018;23;1;18;55
12/08/2018;24;1;16;58
13/08/2018;1;1;11;66
13/08/2018;2;1;7;54
13/08/2018;3;0;4;54
13/08/2018;4;0;4;46
13/08/2018;5;0;3;49
13/08/2018;6;0;5;49
13/08/2018;7;1;7;44
13/08/2018;8;0;5;45
13/08/2018;9;1;5;46
13/08/2018;10;1;5;39
13/08/2018;11;1;4;48
13/08/2018;12;1;3;48
13/08/2018;13;0;2;53
13/08/2018;14;1;3;57
13/08/2018;15;1;3;61
13/08/2018;16;1;4;52
13/08/2018;17;1;4;58
13/08/2018;18;1;5;47
13/08/2018;19;1;5;49
13/08/2018;20;1;5;42
13/08/2018;21;1;6;44
13/08/2018;22;1;5;46
13/08/2018;23;1;4;52
13/08/2018;24;1;2;59
14/08/2018;1;1;1;56
14/08/2018;2;1;2;53
14/08/2018;3;1;3;49
14/08/2018;4;1;4;45
14/08/2018;5;1;4;43
14/08/2018;6;0;4;44
14/08/2018;7;0;7;38
14/08/2018;8;1;8;36
14/08/2018;9;1;10;33
14/08/2018;10;1;9;38
14/08/2018;11;1;7;51
14/08/2018;12;1;6;65
14/08/2018;13;1;4;76
14/08/2018;14;1;5;74
14/08/2018;15;1;4;80
14/08/2018;16;1;4;78
14/08/2018;17;1;4;77
14/08/2018;18;1;4;69
14/08/2018;19;1;4;61
14/08/2018;20;1;4;61
14/08/2018;21;1;6;53
14/08/2018;22;2;7;50
14/08/2018;23;1;6;51
14/08/2018;24;1;7;50
15/08/2018;1;1;6;47
15/08/2018;2;1;6;43
15/08/2018;3;1;4;44
15/08/2018;4;1;3;54
15/08/2018;5;1;3;44
15/08/2018;6;1;4;38
15/08/2018;7;1;6;32
15/08/2018;8;1;5;45
15/08/2018;9;1;4;45
15/08/2018;10;1;4;49
15/08/2018;11;1;4;54
15/08/2018;12;1;3;60
15/08/2018;13;1;3;64
15/08/2018;14;1;5;57
15/08/2018;15;1;5;68
15/08/2018;16;1;7;51
15/08/2018;17;1;12;57
15/08/2018;18;1;8;62
15/08/2018;19;1;7;72
15/08/2018;20;1;14;61
15/08/2018;21;2;22;70
15/08/2018;22;1;13;74
15/08/2018;23;1;24;61
15/08/2018;24;1;11;65
16/08/2018;1;1;15;49
16/08/2018;2;1;16;44
16/08/2018;3;1;31;32
16/08/2018;4;1;31;36
16/08/2018;5;1;42;23
16/08/2018;6;1;46;22
16/08/2018;7;1;22;48
16/08/2018;8;1;42;32
16/08/2018;9;1;36;41
16/08/2018;10;1;28;51
16/08/2018;11;1;13;72
16/08/2018;12;1;8;86
16/08/2018;13;1;8;99
16/08/2018;14;1;9;101
16/08/2018;15;1;6;109
16/08/2018;16;2;7;104
16/08/2018;17;2;6;101
16/08/2018;18;2;7;88
16/08/2018;19;1;6;66
16/08/2018;20;1;6;56
16/08/2018;21;1;6;46
16/08/2018;22;1;5;40
16/08/2018;23;1;4;43
16/08/2018;24;1;3;43
17/08/2018;1;1;4;43
17/08/2018;2;1;4;43
17/08/2018;3;1;3;45
17/08/2018;4;1;3;48
17/08/2018;5;1;6;49
17/08/2018;6;1;9;42
17/08/2018;7;1;13;34
17/08/2018;8;1;15;30
17/08/2018;9;1;11;33
17/08/2018;10;1;9;38
17/08/2018;11;1;7;44
17/08/2018;12;1;6;54
17/08/2018;13;1;7;50
17/08/2018;14;1;6;52
17/08/2018;15;1;6;49
17/08/2018;16;1;6;53
17/08/2018;17;1;8;49
17/08/2018;18;1;7;52
17/08/2018;19;1;7;50
17/08/2018;20;1;6;51
17/08/2018;21;1;7;52
17/08/2018;22;1;7;50
17/08/2018;23;1;6;50
17/08/2018;24;1;8;49
18/08/2018;1;1;6;48
18/08/2018;2;1;6;48
18/08/2018;3;0;5;53
18/08/2018;4;0;3;59
18/08/2018;5;1;5;56
18/08/2018;6;0;2;69
